question,variant,step,tool,planned_args,agent_args,pre_ok,error
"I want to escape the summer heat from New York and head somewhere cool in Northern Europe, preferably by plane.",nohint,1,set_origin,[],"[""New York""]",1,
"I want to escape the summer heat from New York and head somewhere cool in Northern Europe, preferably by plane.",nohint,2,set_destination,[],"[""a city in Northern Europe""]",1,
"I want to escape the summer heat from New York and head somewhere cool in Northern Europe, preferably by plane.",nohint,3,select_transport,[],"[""flight""]",1,
"I want to escape the summer heat from New York and head somewhere cool in Northern Europe, preferably by plane.",nohint,4,confirm_booking,[],[],1,
"Can you help me plan a relaxing train journey starting in Chicago, ending somewhere scenic on the West Coast?",nohint,1,set_origin,[],"[""Chicago""]",1,
"Can you help me plan a relaxing train journey starting in Chicago, ending somewhere scenic on the West Coast?",nohint,2,set_destination,[],"[""somewhere scenic on the West Coast""]",1,
"Can you help me plan a relaxing train journey starting in Chicago, ending somewhere scenic on the West Coast?",nohint,3,select_transport,[],"[""train""]",1,
"Can you help me plan a relaxing train journey starting in Chicago, ending somewhere scenic on the West Coast?",nohint,4,confirm_booking,[],[],1,
"From San Francisco, I’d like to visit a nearby international city that’s famous for food. Which transport should I take?",nohint,1,set_origin,[],"[""San Francisco""]",1,
"From San Francisco, I’d like to visit a nearby international city that’s famous for food. Which transport should I take?",nohint,2,set_destination,[],"[""Los Angeles""]",1,
"From San Francisco, I’d like to visit a nearby international city that’s famous for food. Which transport should I take?",nohint,3,select_transport,[],"[""flight""]",1,
"From San Francisco, I’d like to visit a nearby international city that’s famous for food. Which transport should I take?",nohint,4,confirm_booking,[],[],1,
I’m in Boston and want to reach a cultural capital in Europe this winter; flights are okay.,nohint,1,set_origin,[],"[""Boston""]",1,
I’m in Boston and want to reach a cultural capital in Europe this winter; flights are okay.,nohint,2,set_destination,[],"[""a cultural capital in Europe""]",1,
I’m in Boston and want to reach a cultural capital in Europe this winter; flights are okay.,nohint,3,select_transport,[],"[""flight""]",1,
I’m in Boston and want to reach a cultural capital in Europe this winter; flights are okay.,nohint,4,confirm_booking,[],[],1,
"Could you suggest a short weekend trip from Seattle to a Canadian city, maybe by bus?",nohint,1,set_origin,[],"[""Seattle""]",1,
"Could you suggest a short weekend trip from Seattle to a Canadian city, maybe by bus?",nohint,2,set_destination,[],"[""Vancouver""]",1,
"Could you suggest a short weekend trip from Seattle to a Canadian city, maybe by bus?",nohint,3,select_transport,[],"[""bus""]",1,
"Could you suggest a short weekend trip from Seattle to a Canadian city, maybe by bus?",nohint,4,confirm_booking,[],[],1,
"I’d like to leave Miami and end up somewhere colder in the U.S., ideally by train.",nohint,1,set_origin,[],"[""Miami""]",1,
"I’d like to leave Miami and end up somewhere colder in the U.S., ideally by train.",nohint,2,set_destination,[],"[""Chicago""]",1,
"I’d like to leave Miami and end up somewhere colder in the U.S., ideally by train.",nohint,3,select_transport,[],"[""train""]",1,
"I’d like to leave Miami and end up somewhere colder in the U.S., ideally by train.",nohint,4,confirm_booking,[],[],1,
"Starting in Los Angeles, I want to explore a historic East Coast city. Please plan transport.",nohint,1,set_origin,[],"[""Los Angeles""]",1,
"Starting in Los Angeles, I want to explore a historic East Coast city. Please plan transport.",nohint,2,set_destination,[],"[""Boston""]",1,
"Starting in Los Angeles, I want to explore a historic East Coast city. Please plan transport.",nohint,3,select_transport,[],"[""flight""]",1,
"Starting in Los Angeles, I want to explore a historic East Coast city. Please plan transport.",nohint,4,confirm_booking,[],[],1,
"I want to go from Dallas to a coastal European destination, but I’m unsure whether to fly or take a train once I land.",nohint,1,set_origin,[],"[""Dallas""]",1,
"I want to go from Dallas to a coastal European destination, but I’m unsure whether to fly or take a train once I land.",nohint,2,set_destination,[],"[""coastal European destination""]",1,
"I want to go from Dallas to a coastal European destination, but I’m unsure whether to fly or take a train once I land.",nohint,3,select_transport,[],"[""flight""]",1,
"I want to go from Dallas to a coastal European destination, but I’m unsure whether to fly or take a train once I land.",nohint,4,confirm_booking,[],[],1,
"From Toronto, I want to travel to a European city that’s known for architecture.",nohint,1,set_origin,[],"[""Toronto""]",1,
"From Toronto, I want to travel to a European city that’s known for architecture.",nohint,2,set_destination,[],"[""Barcelona""]",1,
"From Toronto, I want to travel to a European city that’s known for architecture.",nohint,3,select_transport,[],"[""flight""]",1,
"From Toronto, I want to travel to a European city that’s known for architecture.",nohint,4,confirm_booking,[],[],1,
Help me book a trip from Denver to a major cultural festival somewhere in Europe.,nohint,1,set_origin,[],"[""Denver""]",1,
Help me book a trip from Denver to a major cultural festival somewhere in Europe.,nohint,2,set_destination,[],"[""a major cultural festival in Europe""]",1,
Help me book a trip from Denver to a major cultural festival somewhere in Europe.,nohint,3,select_transport,[],"[""flight""]",1,
Help me book a trip from Denver to a major cultural festival somewhere in Europe.,nohint,4,confirm_booking,[],[],1,
"I want to leave Washington D.C. for a mountainous European city, but I’m not sure which transport mode is best.",nohint,1,set_origin,[],"[""Washington D.C.""]",1,
"I want to leave Washington D.C. for a mountainous European city, but I’m not sure which transport mode is best.",nohint,2,set_destination,[],"[""mountainous European city""]",1,
"I want to leave Washington D.C. for a mountainous European city, but I’m not sure which transport mode is best.",nohint,3,select_transport,[],"[""flight""]",1,
"I want to leave Washington D.C. for a mountainous European city, but I’m not sure which transport mode is best.",nohint,4,confirm_booking,[],[],1,
Plan me a journey from Paris to a Mediterranean destination where I can swim in summer.,nohint,1,set_origin,[],"[""Paris""]",1,
Plan me a journey from Paris to a Mediterranean destination where I can swim in summer.,nohint,2,set_destination,[],"[""Nice""]",1,
Plan me a journey from Paris to a Mediterranean destination where I can swim in summer.,nohint,3,select_transport,[],"[""flight""]",1,
Plan me a journey from Paris to a Mediterranean destination where I can swim in summer.,nohint,4,confirm_booking,[],[],1,
"I’d like to go from London to a Northern European capital, maybe not the most expensive option.",nohint,1,set_origin,[],"[""London""]",1,
"I’d like to go from London to a Northern European capital, maybe not the most expensive option.",nohint,2,set_destination,[],"[""Oslo""]",1,
"I’d like to go from London to a Northern European capital, maybe not the most expensive option.",nohint,3,select_transport,[],"[""flight""]",1,
"I’d like to go from London to a Northern European capital, maybe not the most expensive option.",nohint,4,confirm_booking,[],[],1,
"From Berlin, I want to reach a historic city in Southern Europe by train or flight.",nohint,1,set_origin,[],"[""Berlin""]",1,
"From Berlin, I want to reach a historic city in Southern Europe by train or flight.",nohint,2,set_destination,[],"[""historic city in Southern Europe""]",1,
"From Berlin, I want to reach a historic city in Southern Europe by train or flight.",nohint,3,select_transport,[],"[""train""]",1,
"From Berlin, I want to reach a historic city in Southern Europe by train or flight.",nohint,4,confirm_booking,[],[],1,
"I’m in Madrid and I’d like to plan a getaway to a small coastal city, not too far away.",nohint,1,set_origin,[],"[""Madrid""]",1,
"I’m in Madrid and I’d like to plan a getaway to a small coastal city, not too far away.",nohint,2,set_destination,[],"[""coastal city""]",1,
"I’m in Madrid and I’d like to plan a getaway to a small coastal city, not too far away.",nohint,3,select_transport,[],"[""train""]",1,
"I’m in Madrid and I’d like to plan a getaway to a small coastal city, not too far away.",nohint,4,STOP,[],[],0,
Help me travel from Rome to a central European country that’s famous for castles.,nohint,1,set_origin,[],"[""Rome""]",1,
Help me travel from Rome to a central European country that’s famous for castles.,nohint,2,set_destination,[],"[""Prague""]",1,
Help me travel from Rome to a central European country that’s famous for castles.,nohint,3,select_transport,[],"[""flight""]",1,
Help me travel from Rome to a central European country that’s famous for castles.,nohint,4,confirm_booking,[],[],1,
"Starting in Amsterdam, I’d like to book a trip to a colder, less crowded destination.",nohint,1,set_origin,[],"[""Amsterdam""]",1,
"Starting in Amsterdam, I’d like to book a trip to a colder, less crowded destination.",nohint,2,set_destination,[],"[""a colder, less crowded destination""]",1,
"Starting in Amsterdam, I’d like to book a trip to a colder, less crowded destination.",nohint,3,select_transport,[],"[""flight""]",1,
"Starting in Amsterdam, I’d like to book a trip to a colder, less crowded destination.",nohint,4,confirm_booking,[],[],1,
"From Zurich, plan a route to a scenic city by train where I can enjoy the landscape.",nohint,1,set_origin,[],"[""Zurich""]",1,
"From Zurich, plan a route to a scenic city by train where I can enjoy the landscape.",nohint,2,set_destination,[],"[""Lucerne""]",1,
"From Zurich, plan a route to a scenic city by train where I can enjoy the landscape.",nohint,3,select_transport,[],"[""train""]",1,
"From Zurich, plan a route to a scenic city by train where I can enjoy the landscape.",nohint,4,confirm_booking,[],[],1,
I want to leave Vienna for a culturally rich Eastern European city.,nohint,1,set_origin,[],"[""Vienna""]",1,
I want to leave Vienna for a culturally rich Eastern European city.,nohint,2,set_destination,[],"[""Budapest""]",1,
I want to leave Vienna for a culturally rich Eastern European city.,nohint,3,select_transport,[],"[""train""]",1,
I want to leave Vienna for a culturally rich Eastern European city.,nohint,4,confirm_booking,[],[],1,
"I’d like to go from Prague to a romantic destination, maybe Paris or Venice.",nohint,1,set_origin,[],"[""Prague""]",1,
"I’d like to go from Prague to a romantic destination, maybe Paris or Venice.",nohint,2,set_destination,[],"[""Paris""]",1,
"I’d like to go from Prague to a romantic destination, maybe Paris or Venice.",nohint,3,select_transport,[],"[""flight""]",1,
"I’d like to go from Prague to a romantic destination, maybe Paris or Venice.",nohint,4,confirm_booking,[],[],1,
"From Athens, I’d like to travel to another European city that is cooler in summer.",nohint,1,set_origin,[],"[""Athens""]",1,
"From Athens, I’d like to travel to another European city that is cooler in summer.",nohint,2,set_destination,[],"[""Berlin""]",1,
"From Athens, I’d like to travel to another European city that is cooler in summer.",nohint,3,select_transport,[],"[""flight""]",1,
"From Athens, I’d like to travel to another European city that is cooler in summer.",nohint,4,confirm_booking,[],[],1,
Help me plan a winter journey from Oslo to a warmer European city.,nohint,1,set_origin,[],"[""Oslo""]",1,
Help me plan a winter journey from Oslo to a warmer European city.,nohint,2,set_destination,[],"[""a warmer European city""]",1,
Help me plan a winter journey from Oslo to a warmer European city.,nohint,3,select_transport,[],"[""flight""]",1,
Help me plan a winter journey from Oslo to a warmer European city.,nohint,4,confirm_booking,[],[],1,
"From Stockholm, I’d like to travel south to a European city by train, if possible.",nohint,1,set_origin,[],"[""Stockholm""]",1,
"From Stockholm, I’d like to travel south to a European city by train, if possible.",nohint,2,set_destination,[],"[""Copenhagen""]",1,
"From Stockholm, I’d like to travel south to a European city by train, if possible.",nohint,3,select_transport,[],"[""train""]",1,
"From Stockholm, I’d like to travel south to a European city by train, if possible.",nohint,4,confirm_booking,[],[],1,
"Starting in Helsinki, plan me a route to a historic city in Central Europe.",nohint,1,set_origin,[],"[""Helsinki""]",1,
"Starting in Helsinki, plan me a route to a historic city in Central Europe.",nohint,2,set_destination,[],"[""Prague""]",1,
"Starting in Helsinki, plan me a route to a historic city in Central Europe.",nohint,3,select_transport,[],"[""flight""]",1,
"Starting in Helsinki, plan me a route to a historic city in Central Europe.",nohint,4,confirm_booking,[],[],1,
I’m in Copenhagen and want to reach a famous art city in Europe by flight.,nohint,1,set_origin,[],"[""Copenhagen""]",1,
I’m in Copenhagen and want to reach a famous art city in Europe by flight.,nohint,2,set_destination,[],"[""Paris""]",1,
I’m in Copenhagen and want to reach a famous art city in Europe by flight.,nohint,3,select_transport,[],"[""flight""]",1,
I’m in Copenhagen and want to reach a famous art city in Europe by flight.,nohint,4,confirm_booking,[],[],1,
"From Istanbul, I’d like to travel to a European capital where I can experience history.",nohint,1,set_origin,[],"[""Istanbul""]",1,
"From Istanbul, I’d like to travel to a European capital where I can experience history.",nohint,2,set_destination,[],"[""a European capital where I can experience history""]",1,
"From Istanbul, I’d like to travel to a European capital where I can experience history.",nohint,3,select_transport,[],"[""flight""]",1,
"From Istanbul, I’d like to travel to a European capital where I can experience history.",nohint,4,STOP,[],[],0,
Help me leave Warsaw for a Western European cultural hub.,nohint,1,set_origin,[],"[""Warsaw""]",1,
Help me leave Warsaw for a Western European cultural hub.,nohint,2,set_destination,[],"[""Berlin""]",1,
Help me leave Warsaw for a Western European cultural hub.,nohint,3,select_transport,[],"[""train""]",1,
Help me leave Warsaw for a Western European cultural hub.,nohint,4,confirm_booking,[],[],1,
"From Budapest, I’d like to plan a journey to a nearby capital city.",nohint,1,set_origin,[],"[""Budapest""]",1,
"From Budapest, I’d like to plan a journey to a nearby capital city.",nohint,2,set_destination,[],"[""Vienna""]",1,
"From Budapest, I’d like to plan a journey to a nearby capital city.",nohint,3,select_transport,[],"[""train""]",1,
"From Budapest, I’d like to plan a journey to a nearby capital city.",nohint,4,confirm_booking,[],[],1,
I want to leave Brussels and reach a sunny European destination.,nohint,1,set_origin,[],"[""Brussels""]",1,
I want to leave Brussels and reach a sunny European destination.,nohint,2,set_destination,[],"[""Barcelona""]",1,
I want to leave Brussels and reach a sunny European destination.,nohint,3,select_transport,[],"[""flight""]",1,
I want to leave Brussels and reach a sunny European destination.,nohint,4,confirm_booking,[],[],1,
"From Lisbon, plan me a trip to a colder Northern European city.",nohint,1,set_origin,[],"[""Lisbon""]",1,
"From Lisbon, plan me a trip to a colder Northern European city.",nohint,2,set_destination,[],"[""Oslo""]",1,
"From Lisbon, plan me a trip to a colder Northern European city.",nohint,3,select_transport,[],"[""flight""]",1,
