question,variant,step,tool,planned_args,agent_args,pre_ok,error
"I want to escape the summer heat from New York and head somewhere cool in Northern Europe, preferably by plane.",hint,1,set_origin,"[""New York""]","[""New York""]",1,
"I want to escape the summer heat from New York and head somewhere cool in Northern Europe, preferably by plane.",hint,2,set_destination,"[""Copenhagen""]","[""Copenhagen""]",1,
"I want to escape the summer heat from New York and head somewhere cool in Northern Europe, preferably by plane.",hint,3,select_transport,"[""flight""]","[""flight""]",1,
"I want to escape the summer heat from New York and head somewhere cool in Northern Europe, preferably by plane.",hint,4,confirm_booking,[],[],1,
"Can you help me plan a relaxing train journey starting in Chicago, ending somewhere scenic on the West Coast?",hint,1,set_origin,"[""Chicago""]","[""Chicago""]",1,
"Can you help me plan a relaxing train journey starting in Chicago, ending somewhere scenic on the West Coast?",hint,2,set_destination,"[""San Francisco""]","[""San Francisco""]",1,
"Can you help me plan a relaxing train journey starting in Chicago, ending somewhere scenic on the West Coast?",hint,3,select_transport,"[""train""]","[""train""]",1,
"Can you help me plan a relaxing train journey starting in Chicago, ending somewhere scenic on the West Coast?",hint,4,confirm_booking,[],[],1,
"From San Francisco, I’d like to visit a nearby international city that’s famous for food. Which transport should I take?",hint,1,set_origin,"[""San Francisco""]","[""San Francisco""]",1,
"From San Francisco, I’d like to visit a nearby international city that’s famous for food. Which transport should I take?",hint,2,set_destination,"[""Los Angeles""]","[""Los Angeles""]",1,
"From San Francisco, I’d like to visit a nearby international city that’s famous for food. Which transport should I take?",hint,3,select_transport,"[""train""]","[""train""]",1,
"From San Francisco, I’d like to visit a nearby international city that’s famous for food. Which transport should I take?",hint,4,confirm_booking,[],[],1,
I’m in Boston and want to reach a cultural capital in Europe this winter; flights are okay.,hint,1,set_origin,"[""Boston""]","[""Boston""]",1,
I’m in Boston and want to reach a cultural capital in Europe this winter; flights are okay.,hint,2,set_destination,"[""London""]","[""London""]",1,
I’m in Boston and want to reach a cultural capital in Europe this winter; flights are okay.,hint,3,select_transport,"[""flight""]","[""flight""]",1,
I’m in Boston and want to reach a cultural capital in Europe this winter; flights are okay.,hint,4,confirm_booking,[],[],1,
"Could you suggest a short weekend trip from Seattle to a Canadian city, maybe by bus?",hint,1,set_origin,"[""Seattle""]","[""Seattle""]",1,
"Could you suggest a short weekend trip from Seattle to a Canadian city, maybe by bus?",hint,2,set_destination,"[""Vancouver""]","[""Vancouver""]",1,
"Could you suggest a short weekend trip from Seattle to a Canadian city, maybe by bus?",hint,3,select_transport,"[""bus""]","[""bus""]",1,
"Could you suggest a short weekend trip from Seattle to a Canadian city, maybe by bus?",hint,4,confirm_booking,[],[],1,
"I’d like to leave Miami and end up somewhere colder in the U.S., ideally by train.",hint,1,set_origin,"[""Miami""]","[""Miami""]",1,
"I’d like to leave Miami and end up somewhere colder in the U.S., ideally by train.",hint,2,set_destination,"[""Chicago""]","[""Chicago""]",1,
"I’d like to leave Miami and end up somewhere colder in the U.S., ideally by train.",hint,3,select_transport,"[""train""]","[""train""]",1,
"I’d like to leave Miami and end up somewhere colder in the U.S., ideally by train.",hint,4,confirm_booking,[],[],1,
"Starting in Los Angeles, I want to explore a historic East Coast city. Please plan transport.",hint,1,set_origin,"[""Los Angeles""]","[""Los Angeles""]",1,
"Starting in Los Angeles, I want to explore a historic East Coast city. Please plan transport.",hint,2,set_destination,"[""Washington, D.C.""]","[""Washington, D.C.""]",1,
"Starting in Los Angeles, I want to explore a historic East Coast city. Please plan transport.",hint,3,select_transport,"[""train""]","[""train""]",1,
"Starting in Los Angeles, I want to explore a historic East Coast city. Please plan transport.",hint,4,confirm_booking,[],[],1,
"I want to go from Dallas to a coastal European destination, but I’m unsure whether to fly or take a train once I land.",hint,1,set_origin,"[""Dallas""]","[""Dallas""]",1,
"I want to go from Dallas to a coastal European destination, but I’m unsure whether to fly or take a train once I land.",hint,2,set_destination,"[""Lisbon""]","[""Lisbon""]",1,
"I want to go from Dallas to a coastal European destination, but I’m unsure whether to fly or take a train once I land.",hint,3,select_transport,"[""flight""]","[""flight""]",1,
"I want to go from Dallas to a coastal European destination, but I’m unsure whether to fly or take a train once I land.",hint,4,confirm_booking,[],[],1,
"From Toronto, I want to travel to a European city that’s known for architecture.",hint,1,set_origin,"[""Toronto""]","[""Toronto""]",1,
"From Toronto, I want to travel to a European city that’s known for architecture.",hint,2,set_destination,"[""Paris""]","[""Paris""]",1,
"From Toronto, I want to travel to a European city that’s known for architecture.",hint,3,select_transport,"[""flight""]","[""flight""]",1,
"From Toronto, I want to travel to a European city that’s known for architecture.",hint,4,confirm_booking,[],[],1,
Help me book a trip from Denver to a major cultural festival somewhere in Europe.,hint,1,set_origin,"[""Denver""]","[""Denver""]",1,
Help me book a trip from Denver to a major cultural festival somewhere in Europe.,hint,2,set_destination,"[""Paris""]","[""Paris""]",1,
Help me book a trip from Denver to a major cultural festival somewhere in Europe.,hint,3,select_transport,"[""flight""]","[""flight""]",1,
Help me book a trip from Denver to a major cultural festival somewhere in Europe.,hint,4,confirm_booking,[],[],1,
"I want to leave Washington D.C. for a mountainous European city, but I’m not sure which transport mode is best.",hint,1,set_origin,"[""Washington D.C.""]","[""Washington D.C.""]",1,
"I want to leave Washington D.C. for a mountainous European city, but I’m not sure which transport mode is best.",hint,2,set_destination,"[""Zurich""]","[""Zurich""]",1,
"I want to leave Washington D.C. for a mountainous European city, but I’m not sure which transport mode is best.",hint,3,select_transport,"[""flight""]","[""flight""]",1,
"I want to leave Washington D.C. for a mountainous European city, but I’m not sure which transport mode is best.",hint,4,confirm_booking,[],[],1,
Plan me a journey from Paris to a Mediterranean destination where I can swim in summer.,hint,1,set_origin,"[""Paris""]","[""Paris""]",1,
Plan me a journey from Paris to a Mediterranean destination where I can swim in summer.,hint,2,set_destination,"[""Barcelona""]","[""Barcelona""]",1,
Plan me a journey from Paris to a Mediterranean destination where I can swim in summer.,hint,3,select_transport,"[""train""]","[""train""]",1,
Plan me a journey from Paris to a Mediterranean destination where I can swim in summer.,hint,4,confirm_booking,[],[],1,
"I’d like to go from London to a Northern European capital, maybe not the most expensive option.",hint,1,set_origin,"[""London""]","[""London""]",1,
"I’d like to go from London to a Northern European capital, maybe not the most expensive option.",hint,2,set_destination,"[""Oslo""]","[""Oslo""]",1,
"I’d like to go from London to a Northern European capital, maybe not the most expensive option.",hint,3,select_transport,"[""flight""]","[""flight""]",1,
"I’d like to go from London to a Northern European capital, maybe not the most expensive option.",hint,4,confirm_booking,[],[],1,
"From Berlin, I want to reach a historic city in Southern Europe by train or flight.",hint,1,set_origin,"[""Berlin""]","[""Berlin""]",1,
"From Berlin, I want to reach a historic city in Southern Europe by train or flight.",hint,2,set_destination,"[""Rome""]","[""Rome""]",1,
"From Berlin, I want to reach a historic city in Southern Europe by train or flight.",hint,3,select_transport,"[""train""]","[""train""]",1,
"From Berlin, I want to reach a historic city in Southern Europe by train or flight.",hint,4,confirm_booking,[],[],1,
"I’m in Madrid and I’d like to plan a getaway to a small coastal city, not too far away.",hint,1,set_origin,"[""Madrid""]","[""Madrid""]",1,
"I’m in Madrid and I’d like to plan a getaway to a small coastal city, not too far away.",hint,2,set_destination,"[""Valencia""]","[""Valencia""]",1,
"I’m in Madrid and I’d like to plan a getaway to a small coastal city, not too far away.",hint,3,select_transport,"[""train""]","[""train""]",1,
"I’m in Madrid and I’d like to plan a getaway to a small coastal city, not too far away.",hint,4,confirm_booking,[],[],1,
Help me travel from Rome to a central European country that’s famous for castles.,hint,1,set_origin,"[""Rome""]","[""Rome""]",1,
Help me travel from Rome to a central European country that’s famous for castles.,hint,2,set_destination,"[""Germany""]","[""Germany""]",1,
Help me travel from Rome to a central European country that’s famous for castles.,hint,3,select_transport,"[""train""]","[""train""]",1,
Help me travel from Rome to a central European country that’s famous for castles.,hint,4,confirm_booking,[],[],1,
"Starting in Amsterdam, I’d like to book a trip to a colder, less crowded destination.",hint,1,set_origin,"[""Amsterdam""]","[""Amsterdam""]",1,
"Starting in Amsterdam, I’d like to book a trip to a colder, less crowded destination.",hint,2,set_destination,"[""Reykjavik""]","[""Reykjavik""]",1,
"Starting in Amsterdam, I’d like to book a trip to a colder, less crowded destination.",hint,3,select_transport,"[""flight""]","[""flight""]",1,
"Starting in Amsterdam, I’d like to book a trip to a colder, less crowded destination.",hint,4,confirm_booking,[],[],1,
"From Zurich, plan a route to a scenic city by train where I can enjoy the landscape.",hint,1,set_origin,"[""Zurich""]","[""Zurich""]",1,
"From Zurich, plan a route to a scenic city by train where I can enjoy the landscape.",hint,2,set_destination,"[""Lucerne""]","[""Lucerne""]",1,
"From Zurich, plan a route to a scenic city by train where I can enjoy the landscape.",hint,3,select_transport,"[""train""]","[""train""]",1,
"From Zurich, plan a route to a scenic city by train where I can enjoy the landscape.",hint,4,confirm_booking,[],[],1,
I want to leave Vienna for a culturally rich Eastern European city.,hint,1,set_origin,"[""Budapest""]","[""Vienna""]",1,
I want to leave Vienna for a culturally rich Eastern European city.,hint,2,set_destination,"[""Prague""]","[""Prague""]",1,
I want to leave Vienna for a culturally rich Eastern European city.,hint,3,select_transport,"[""train""]","[""train""]",1,
I want to leave Vienna for a culturally rich Eastern European city.,hint,4,confirm_booking,[],[],1,
"I’d like to go from Prague to a romantic destination, maybe Paris or Venice.",hint,1,set_origin,"[""Prague""]","[""Prague""]",1,
"I’d like to go from Prague to a romantic destination, maybe Paris or Venice.",hint,2,set_destination,"[""Paris""]","[""Paris""]",1,
"I’d like to go from Prague to a romantic destination, maybe Paris or Venice.",hint,3,select_transport,"[""train""]","[""train""]",1,
"I’d like to go from Prague to a romantic destination, maybe Paris or Venice.",hint,4,confirm_booking,[],[],1,
"From Athens, I’d like to travel to another European city that is cooler in summer.",hint,1,set_origin,"[""Athens""]","[""Athens""]",1,
"From Athens, I’d like to travel to another European city that is cooler in summer.",hint,2,set_destination,"[""Amsterdam""]","[""Amsterdam""]",1,
"From Athens, I’d like to travel to another European city that is cooler in summer.",hint,3,select_transport,"[""flight""]","[""flight""]",1,
"From Athens, I’d like to travel to another European city that is cooler in summer.",hint,4,confirm_booking,"[""booking_confirmed""]",[],1,
Help me plan a winter journey from Oslo to a warmer European city.,hint,1,set_origin,"[""Oslo""]","[""Oslo""]",1,
Help me plan a winter journey from Oslo to a warmer European city.,hint,2,set_destination,"[""Lisbon""]","[""Lisbon""]",1,
